chr1	-1300	1699
chr1	232000	234999
chr1	553000	555999
chr1	556200	559199
chr1	702600	705599
chr1	713500	716499
chr1	750900	753899
chr1	793700	796699
chr1	822000	824999
chr1	829000	831999
chr1	848300	851299
chr1	865100	868099
chr1	883600	886599
chr1	890900	893899
chr1	900100	903099
chr1	924100	927099
chr1	928900	931899
chr1	937600	940599
chr1	944100	947099
chr1	957000	959999
chr1	963700	966699
chr1	983300	986299
chr1	987600	990599
chr1	993000	995999
chr1	1003700	1006699
chr1	1040000	1042999
chr1	1046300	1049299
chr1	1061000	1063999
chr1	1068100	1071099
chr1	1082100	1085099
chr1	1097500	1100499
chr1	1106600	1109599
chr1	1124300	1127299
chr1	1130700	1133699
chr1	1137300	1140299
chr1	1155500	1158499
chr1	1197300	1200299
chr1	1231700	1234699
chr1	1248800	1251799
chr1	1272300	1275299
chr1	1298800	1301799
chr1	1323100	1326099
chr1	1331100	1334099
chr1	1344000	1346999
chr1	1350900	1353899
chr1	1359000	1361999
chr1	1386200	1389199
chr1	1395400	1398399
chr1	1429000	1431999
chr1	1435500	1438499
chr1	1464000	1466999
chr1	1498100	1501099
chr1	1523900	1526899
chr1	1530900	1533899
chr1	1539200	1542199
chr1	1553900	1556899
chr1	1579200	1582199
chr1	1598100	1601099
chr1	1612600	1615599
chr1	1643700	1646699
chr1	1665800	1668799
chr1	1684500	1687499
chr1	1698900	1701899
chr1	1753700	1756699
chr1	1761500	1764499
chr1	1778900	1781899
chr1	1810600	1813599
chr1	1819200	1822199
chr1	1828800	1831799
chr1	1839000	1841999
chr1	1864000	1866999
chr1	1916100	1919099
chr1	1964900	1967899
chr1	1970400	1973399
chr1	2032300	2035299
chr1	2046900	2049899
chr1	2053300	2056299
chr1	2062800	2065799
chr1	2069900	2072899
chr1	2094700	2097699
chr1	2109700	2112699
chr1	2114400	2117399
chr1	2119100	2122099
chr1	2125000	2127999
chr1	2133100	2136099
chr1	2150200	2153199
chr1	2166700	2169699
chr1	2198700	2201699
chr1	2211000	2213999
chr1	2220600	2223599
chr1	2234700	2237699
chr1	2241900	2244899
chr1	2311700	2314699
